SET 3,E:2|CBDB
SET 4,E:2|CBE3
SET 5,E:2|CBEB
SET 6,E:2|CBF3
SET 7,E:2|CBFB
SET 0,H:2|CBC4
SET 1,H:2|CBCC
SET 2,H:2|CBD4
SET 3,H:2|CBDC
SET 4,H:2|CBE4
SET 5,H:2|CBEC
SET 6,H:2|CBF4
SET 7,H:2|CBFC
SET 0,L:2|CBC5
SET 1,L:2|CBCD
SET 2,L:2|CBD5
SET 3,L:2|CBDD
SET 4,L:2|CBE5
SET 5,L:2|CBED
SET 6,L:2|CBF5
SET 7,L:2|CBFD
SET 0,A:2|CBC7
SET 1,A:2|CBCF
SET 2,A:2|CBD7
SET 3,A:2|CBDF
SET 4,A:2|CBE7
SET 5,A:2|CBEF
SET 6,A:2|CBF7
SET 7,A:2|CBFF
SET 0,(HL):2|CBC6
SET 1,(HL):2|CBCE
SET 2,(HL):2|CBD6
SET 3,(HL):2|CBDE
SET 4,(HL):2|CBE6
SET 5,(HL):2|CBEE
SET 6,(HL):2|CBF6
SET 7,(HL):2|CBFE
SET 0,(IX+V):4|DDCBVC6
SET 1,(IX+V):4|DDCBVCE
SET 2,(IX+V):4|DDCBVD6
SET 3,(IX+V):4|DDCBVDE
SET 4,(IX+V):4|DDCBVE6
SET 5,(IX+V):4|DDCBVEE
SET 6,(IX+V):4|DDCBVF6
SET 7,(IX+V):4|DDCBVFE
SET 0,(IY+V):4|FDCBVC6
SET 1,(IY+V):4|FDCBVCE
SET 2,(IY+V):4|FDCBVD6
SET 3,(IY+V):4|FDCBVDE
SET 4,(IY+V):4|FDCBVE6
SET 5,(IY+V):4|FDCBVEE
SET 6,(IY+V):4|FDCBVF6
SET 7,(IY+V):4|FDCBVFE
RES 0,B:2|CB80
RES 1,B:2|CB88
RES 2,B:2|CB90
RES 3,B:2|CB98
RES 4,B:2|CBA0
RES 5,B:2|CBA8
RES 6,B:2|CBB0
RES 7,B:2|CBB8
RES 0,C:2|CB81
RES 1,C:2|CB89
RES 2,C:2|CB91
RES 3,C:2|CB99
RES 4,C:2|CBA1
RES 5,C:2|CBA9
RES 6,C:2|CBB1
RES 7,C:2|CBB9
RES 0,D:2|CB82
RES 1,D:2|CB8A
RES 2,D:2|CB92
RES 3,D:2|CB9A
RES 4,D:2|CBA2
RES 5,D:2|CBAA
RES 6,D:2|CBB2
RES 7,D:2|CBBA
